General_variables ,unit,description,lower,median,upper,distribution,variable,source of information,,
,year,Time period for the calculation,20,,20,const,n_years,,,
,hen,number of hens,1200,,1200,const,number_hens,,,
,ha,size of orchard in ha,10,,10,const,orchard_area,,,
,€ / hen,"energy, water",0.59,,0.61,posnorm,other_needs_price,,,
,h   ,time required to plant a tree,1.5,,3,posnorm,planting_hours_tree,,,
,%,reduction in apple scab,1,,10,posnorm,reduce_apple_scab,,,
,%,reduction grass,1,,30,posnorm,reduce_grass,,,
,%,reduction in pests (apple sawfly),1,,15,posnorm,reduce_pest,,,
,%,reduction voles,1,,5,posnorm,reduce_vole,,,
,%,reduction weed ,1,,20,posnorm,reduce_weed,,,
,sqm /  hen,required running area,4,,5,posnorm,req_area,,,
,€,revenue for slaughtered hen,0.5,,1.5,posnorm,revenue_hen,,,
,chance,risk of avian influenca in your flock of chicken,0.001,,0.01,tnorm_0_1 ,risk_influenca_flock,,,
,%,survival rate' of chicken for egg laying period,0.8,,0.97,tnorm_0_1,survival_rate,,,
,number,number of trees per ha,3000,,4000,posnorm,trees_per_ha,,,
 ,% ,desired coefficient of variation in percent ,5,,5,const,var_CV,,,
,€ / hen,veterinarian costs,0.39,,0.41,posnorm,veterinary_price,,,
,h / ha   ,time to put fertilizer on 1 ha apple trees,1,,2,posnorm,fertilization_hour,KTBL Orchard Tool,,
,h / ha   ,time to harvest 1 ha apple trees,27,,31,posnorm,harvest_hour,KTBL Orchard Tool,,
,h / ha   ,time to spray 1 ha ,0.45,,1.5,posnorm,spraying_hour,KTBL Orchard Tool,,
,h / ha   ,time to mow alleys on 1ha,0.45,,1.5,posnorm,mowing_hour,KTBL Orchard Tool,,
,h / ha   ,time to run vole plough,0.5,,1,posnorm,vole_hour,KTBL Orchard Tool,,
,€ / ha / h,cost of running traktor with spray for 1 ha,18,,22,posnorm,machine_cost_spray,KTBL Orchard Tool,,
,€ / ha / h,cost to run vole plough for 1 ha per h,24,,28,posnorm,machine_cost_vole,KTBL Orchard Tool,,
,application / year,number of herbicide application per year,1,,3,posnorm,no_herbicide_application,KTBL Orchard Tool,,
,application / year,number of insecticide application per year,6,,8,posnorm,no_insecticide_application,KTBL Orchard Tool,,"in the original KTBL file there was a section for combined insecticde and fungicde application, these were evenly split added to the single applications"
,application / year,number fungicide application per year,13,,17,posnorm,no_fungicide_application,KTBL Orchard Tool,,
,application / year,number of times vole plough is used,1,,2,posnorm,no_vole_plough,,,
,chance,chance of extraordinary apple scabe infestation,0.05,,0.25,tnorm_0_1 ,chance_intense_apple_scab,,,
,share,extra cost of intense apple scab control in proportion to ordinary apple scab control costs,0.2,,0.4,tnorm_0_1 ,proportion_extracost_apple_scab,,,
,chance,chance of extraordinary insect infestation,0.05,,0.25,tnorm_0_1 ,chance_intense_insect_infestation,,,
,share,extra cost of intense apple scab control in proportion to ordinary insect control costs,0.2,,0.4,tnorm_0_1,proportion_extracost_insect_infestation,,,
,chance,chance of voles harming trees,0.05,,0.25,tnorm_0_1,chance_intense_vole_damage,,,
,share,reduction in apple yield in apple scab year,0.1,,0.3,tnorm_0_1,yield_reduction_apple_scab,,,
,share,reduction in aple yield in insect year,0.1,,0.3,tnorm_0_1,yield_reduction_insect,,,
,share,reduction in apple yield in vole year,0.1,,0.3,tnorm_0_1,yield_reduction_vole,,,
,share,part of total orchard area with trees,0.67,,0.67,const,share_application_area,,,
,year,years until young tree starts having fruits,3,,3,const,n_year_fruit,,,
,year,year until young fruit bearing tree has full yield,6,,6,const,n_year_full_harvest,,,
,share,reduction factor for young apple trees,0.7,,0.8,tnorm_0_1,yield_reduction_young_tree,,,
,chance,need for extra visit of vet,0.1,,0.25,tnorm_0_1,chance_extra_vet_visit,,,
,chance,influenca happening in neighbourhood,0.01,,0.05,tnorm_0_1,risk_influenca_neighbour,,,
,factor,increase in management cost due to influenca in flock,0.5,,0.9,tnorm_0_1,higher_cost_influenca_flock,,,
,factor,increase in management cost due to influenca in neighbourhood,0.3,,0.5,tnorm_0_1,higher_cost_influenca_neighbour,,,
